Name,Type,Data Type,Address
S_AL1_B,Input,Bool,Input 0
P_AL1_B_FT,Input,Bool,Input 1
P_AL1_B_BK,Input,Bool,Input 2
S_AL1_B1,Input,Bool,Input 3
S_AL1_B2,Input,Bool,Input 4
S_AL1_B3,Input,Bool,Input 5
LP_AL1_CLAMPED,Input,Bool,Input 6
S_AL1_LP,Input,Bool,Input 7
S_AL1_L,Input,Bool,Input 8
P_AL1_L_FT,Input,Bool,Input 9
P_AL1_L_BK,Input,Bool,Input 10
S_AL1_L1,Input,Bool,Input 11
S_AL1_L2,Input,Bool,Input 12
S_AL1_L3,Input,Bool,Input 13
RP_AL1_CLAMPED,Input,Bool,Input 14
S_AL1_RP,Input,Bool,Input 15
S_AL1,Input,Bool,Input 16
S_BIN_1,Input,Bool,Input 17
S_AL1_BL,Input,Bool,Input 18
AL1_DETECTED,Input,Bool,Input 19
LP_AL1_LIMIT,Input,Bool,Input 20
S_AL1_P_B1,Input,Bool,Input 21
S_AL1_P_B2,Input,Bool,Input 22
S_AL1_MCB,Input,Bool,Input 23
MCB_BUSY,Input,Bool,Input 24
MCB_ERROR,Input,Bool,Input 25
S_AL1_MCBR,Input,Bool,Input 26
MCBR_BUSY,Input,Bool,Input 27
MCBR_ERROR,Input,Bool,Input 28
S_AL1_P_B3,Input,Bool,Input 29
S_AL1_MCB2,Input,Bool,Input 30
S_AL1_MCBR2,Input,Bool,Input 31
ST_AL1_ST1,Input,Bool,Input 32
ST_AL1_ST2,Input,Bool,Input 33
ST_AL1_ST3,Input,Bool,Input 34
RP_AL1_ST_CLAMPED,Input,Bool,Input 35
AL1_ST_DETECTED,Input,Bool,Input 36
AL1_G_S1,Input,Bool,Input 37
AL1_G_SC_LL,Input,Bool,Input 38
AL1_G_SC_MZ,Input,Bool,Input 39
AL1_G_SC_ML,Input,Bool,Input 40
AL1_G_SC_MX,Input,Bool,Input 41
AL1_G_SC_RL,Input,Bool,Input 42
ST_AL1_ST0,Input,Bool,Input 43
S_AL2_B,Input,Bool,Input 48
P_AL2_B_FT,Input,Bool,Input 49
P_AL2_B_BK,Input,Bool,Input 50
S_AL2_B1,Input,Bool,Input 51
S_AL2_B2,Input,Bool,Input 52
S_AL2_B3,Input,Bool,Input 53
LP_AL2_CLAMPED,Input,Bool,Input 54
S_AL2_LP,Input,Bool,Input 55
S_AL2_L,Input,Bool,Input 56
P_AL2_L_FT,Input,Bool,Input 57
P_AL2_L_BK,Input,Bool,Input 58
S_AL2_L1,Input,Bool,Input 59
S_AL2_L2,Input,Bool,Input 60
S_AL2_L3,Input,Bool,Input 61
RP_AL2_CLAMPED,Input,Bool,Input 62
S_AL2_RP,Input,Bool,Input 63
S_AL2,Input,Bool,Input 64
S_BIN_2,Input,Bool,Input 65
S_AL2_BL,Input,Bool,Input 66
AL2_DETECTED,Input,Bool,Input 67
LP_AL2_LIMIT,Input,Bool,Input 68
S_AL2_P_B1,Input,Bool,Input 69
S_AL2_P_B2,Input,Bool,Input 70
S_AL2_MCL,Input,Bool,Input 71
MCL_BUSY,Input,Bool,Input 72
MCL_ERROR,Input,Bool,Input 73
S_AL2_MCLR,Input,Bool,Input 74
MCLR_BUSY,Input,Bool,Input 75
MCLR_ERROR,Input,Bool,Input 76
S_AL2_P_B3,Input,Bool,Input 77
S_AL2_MCL2,Input,Bool,Input 78
S_AL2_MCLR2,Input,Bool,Input 79
ST_AL2_ST1,Input,Bool,Input 80
ST_AL2_ST2,Input,Bool,Input 81
ST_AL2_ST3,Input,Bool,Input 82
RP_AL2_ST_CLAMPED,Input,Bool,Input 83
AL2_ST_DETECTED,Input,Bool,Input 84
AL2_G_S1,Input,Bool,Input 85
AL2_G_SC_LL,Input,Bool,Input 86
AL2_G_SC_MZ,Input,Bool,Input 87
AL2_G_SC_ML,Input,Bool,Input 88
AL2_G_SC_MX,Input,Bool,Input 89
AL2_G_SC_RL,Input,Bool,Input 90
ST_AL2_ST0,Input,Bool,Input 91
P_AL1_B,Output,Bool,Coil 0
SB_AL1_B1,Output,Bool,Coil 1
SB_AL1_B2,Output,Bool,Coil 2
SB_AL1_B3,Output,Bool,Coil 3
LP_AL1_CLAMP,Output,Bool,Coil 4
P_AL1_L,Output,Bool,Coil 5
SB_AL1_L1,Output,Bool,Coil 6
SB_AL1_L2,Output,Bool,Coil 7
SB_AL1_L3,Output,Bool,Coil 8
RP_AL1_CLAMP,Output,Bool,Coil 9
SB_AL1,Output,Bool,Coil 10
PUWS_AL1_1_PLUS,Output,Bool,Coil 11
PUWS_AL1_1_RT,Output,Bool,Coil 12
CS_AL1_PLUS,Output,Bool,Coil 13
AL1_GRAB,Output,Bool,Coil 14
LP_AL1_RAISE,Output,Bool,Coil 15
E_AL1_B1,Output,Bool,Coil 16
PUWS_AL1_B1_PLUS,Output,Bool,Coil 17
PUWS_AL1_B1_RIGHT,Output,Bool,Coil 18
PAS_AL1_PLUS,Output,Bool,Coil 19
PAS_AL1_TURN,Output,Bool,Coil 20
RP_AL1_ST_CLAMP,Output,Bool,Coil 21
AL1_ST_GRAB,Output,Bool,Coil 22
AL1_EMIT,Output,Bool,Coil 23
RC_AL1_ST,Output,Bool,Coil 24
RC_AL1_G7,Output,Bool,Coil 25
AL1_G_SC_LT,Output,Bool,Coil 26
AL1_G_SC_LIFT,Output,Bool,Coil 27
AL1_G_SC_RT,Output,Bool,Coil 28
PAS_AL1_ST_TURN,Output,Bool,Coil 29
P_AL2_B,Output,Bool,Coil 32
SB_AL2_B1,Output,Bool,Coil 33
SB_AL2_B2,Output,Bool,Coil 34
SB_AL2_B3,Output,Bool,Coil 35
LP_AL2_CLAMP,Output,Bool,Coil 36
P_AL2_L,Output,Bool,Coil 37
SB_AL2_L1,Output,Bool,Coil 38
SB_AL2_L2,Output,Bool,Coil 39
SB_AL2_L3,Output,Bool,Coil 40
RP_AL2_CLAMP,Output,Bool,Coil 41
SB_AL2,Output,Bool,Coil 42
PUWS_AL2_1_PLUS,Output,Bool,Coil 43
PUWS_AL2_1_LT,Output,Bool,Coil 44
CS_AL2_PLUS,Output,Bool,Coil 45
AL2_GRAB,Output,Bool,Coil 46
LP_AL2_RAISE,Output,Bool,Coil 47
